,DPM,d,s,a
Sample 1,0.6619733175356031,0.6940542066629023,0.6338492768332911,0.6780762666116946
Sample 2,0.6835251021090275,0.7266666666666667,0.6328071379547013,0.711814383587806
Sample 3,0.5433092338834395,0.4942063492063492,0.5015398152221733,0.6506454534000821
Sample 4,0.7075392469067463,0.8263092463092463,0.6442190669371196,0.6735300107134713
Sample 5,0.5298965091301058,0.5823376623376624,0.4599673202614379,0.5634420147648564
